,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11
Espacio Ocupado [m3],62.216,54.0,107.991,102.082,89.748,81.414,73.08,68.74600000000001,56.412000000000006,28.078,0.0
Espacio Disponible [m3],108.0,108.0,108.0,124.19999999999999,124.19999999999999,124.19999999999999,124.19999999999999,124.19999999999999,124.19999999999999,124.19999999999999,124.19999999999999
